Topics,Alpha,Eta,Coherence
2,0.01,0.01,-2.313652626597976
2,0.01,0.31,-2.2685222821260735
2,0.01,0.61,-2.31394998645677
2,0.01,0.9099999999999999,-2.4477024522332957
2,0.01,symmetric,-2.3097194054331758
2,0.31,0.01,-2.335486345232226
2,0.31,0.31,-2.3187927155486063
2,0.31,0.61,-2.3212497446952085
2,0.31,0.9099999999999999,-2.2970537060219396
2,0.31,symmetric,-2.313512652234883
2,0.61,0.01,-2.3238416354990106
2,0.61,0.31,-2.338402262890452
2,0.61,0.61,-2.3297328789563734
2,0.61,0.9099999999999999,-2.3882142591521154
2,0.61,symmetric,-2.369485227491652
2,0.9099999999999999,0.01,-2.3425698073862096
2,0.9099999999999999,0.31,-2.3575522117232324
2,0.9099999999999999,0.61,-2.4572860494581166
2,0.9099999999999999,0.9099999999999999,-2.4488476284125564
2,0.9099999999999999,symmetric,-2.4447450872996668
2,symmetric,0.01,-2.3588960830097125
2,symmetric,0.31,-2.3589042275395733
2,symmetric,0.61,-2.351080525406397
2,symmetric,0.9099999999999999,-2.3464975982112763
2,symmetric,symmetric,-2.346235706339481
2,asymmetric,0.01,-2.531056216367803
2,asymmetric,0.31,-2.4132579770278513
2,asymmetric,0.61,-5.83001026537009
2,asymmetric,0.9099999999999999,-6.279752411570685
2,asymmetric,symmetric,-3.567295342975867
3,0.01,0.01,-3.0037937737238516
3,0.01,0.31,-2.5279573952461383
3,0.01,0.61,-9.144441072214645
3,0.01,0.9099999999999999,-8.282306383151747
3,0.01,symmetric,-2.603394655784809
3,0.31,0.01,-2.4751959173619924
3,0.31,0.31,-2.552161592532149
3,0.31,0.61,-3.7910690797097018
3,0.31,0.9099999999999999,-9.375785286544756
3,0.31,symmetric,-2.5577482716026823
3,0.61,0.01,-2.418341695063967
3,0.61,0.31,-2.4333869590353565
3,0.61,0.61,-2.5219919729040994
3,0.61,0.9099999999999999,-5.44457247467277
3,0.61,symmetric,-2.38819130535861
3,0.9099999999999999,0.01,-2.4537669705570706
3,0.9099999999999999,0.31,-2.460710767343912
3,0.9099999999999999,0.61,-2.508041177931449
3,0.9099999999999999,0.9099999999999999,-3.03569399964292
3,0.9099999999999999,symmetric,-2.4608741902790268
3,symmetric,0.01,-2.459837874611095
3,symmetric,0.31,-2.5371675838599206
3,symmetric,0.61,-3.6424393642904582
3,symmetric,0.9099999999999999,-9.151639661599011
3,symmetric,symmetric,-2.5571068652334237
3,asymmetric,0.01,-2.587609629083998
3,asymmetric,0.31,-2.8014555432767634
3,asymmetric,0.61,-9.338488765153501
3,asymmetric,0.9099999999999999,-8.88649364551808
3,asymmetric,symmetric,-2.8442060482283225
4,0.01,0.01,-2.952823115321996
4,0.01,0.31,-3.7766045822029244
4,0.01,0.61,-12.882446955252242
4,0.01,0.9099999999999999,-11.237417467324983
4,0.01,symmetric,-3.261955986059681
4,0.31,0.01,-2.5257497237865896
4,0.31,0.31,-2.5219456121694313
4,0.31,0.61,-8.175274449103473
4,0.31,0.9099999999999999,-10.909235526863947
4,0.31,symmetric,-2.5210232517938618
4,0.61,0.01,-2.4993514627517355
4,0.61,0.31,-2.4804649339821996
4,0.61,0.61,-3.9533561061837914
4,0.61,0.9099999999999999,-8.969469999478104
4,0.61,symmetric,-2.5434268234958
4,0.9099999999999999,0.01,-2.4962315164913202
4,0.9099999999999999,0.31,-2.5929247133696287
4,0.9099999999999999,0.61,-2.6246692262904556
4,0.9099999999999999,0.9099999999999999,-6.668487978601493
4,0.9099999999999999,symmetric,-2.622190818240835
4,symmetric,0.01,-2.4956284679973324
4,symmetric,0.31,-2.5583619481074993
4,symmetric,0.61,-8.207976978719689
4,symmetric,0.9099999999999999,-11.0094863225133
4,symmetric,symmetric,-2.8103520864928475
4,asymmetric,0.01,-2.981472861280108
4,asymmetric,0.31,-3.9039253009252173
4,asymmetric,0.61,-9.308256590050682
4,asymmetric,0.9099999999999999,-13.16086964768102
4,asymmetric,symmetric,-3.580967005587003
5,0.01,0.01,-2.7608658266790718
5,0.01,0.31,-4.661234264712414
5,0.01,0.61,-9.386201507303245
5,0.01,0.9099999999999999,-8.419891513362412
5,0.01,symmetric,-3.005696300360819
5,0.31,0.01,-2.561230886335865
5,0.31,0.31,-3.065330667412928
5,0.31,0.61,-10.338240126922162
5,0.31,0.9099999999999999,-12.962957851417594
5,0.31,symmetric,-2.6170995010227713
5,0.61,0.01,-2.539544200873789
5,0.61,0.31,-2.8817990336919457
5,0.61,0.61,-7.29067815747146
5,0.61,0.9099999999999999,-8.759364746521674
5,0.61,symmetric,-2.618998461524156
5,0.9099999999999999,0.01,-2.5111987134981986
5,0.9099999999999999,0.31,-2.851337827069178
5,0.9099999999999999,0.61,-4.403707448555524
5,0.9099999999999999,0.9099999999999999,-6.391605067194913
5,0.9099999999999999,symmetric,-2.739792428150212
5,symmetric,0.01,-2.627694428984116
5,symmetric,0.31,-3.388028614769585
5,symmetric,0.61,-10.550270911616352
5,symmetric,0.9099999999999999,-11.835472928368144
5,symmetric,symmetric,-2.8824633093859
5,asymmetric,0.01,-4.362299102100254
5,asymmetric,0.31,-6.778390652088289
5,asymmetric,0.61,-9.862427212061055
5,asymmetric,0.9099999999999999,-11.670792073416942
5,asymmetric,symmetric,-4.6224261970318965
6,0.01,0.01,-3.1333760895862492
6,0.01,0.31,-6.272958710811298
6,0.01,0.61,-14.46364479047007
6,0.01,0.9099999999999999,-12.696647583534187
6,0.01,symmetric,-3.162241662165107
6,0.31,0.01,-2.701045645202837
6,0.31,0.31,-5.814577163323832
6,0.31,0.61,-11.301464476688755
6,0.31,0.9099999999999999,-14.298786851864316
6,0.31,symmetric,-3.74504618445912
6,0.61,0.01,-2.6815030114135965
6,0.61,0.31,-4.836256520010457
6,0.61,0.61,-6.542853731241518
6,0.61,0.9099999999999999,-9.51571506214802
6,0.61,symmetric,-3.8483296653053904
6,0.9099999999999999,0.01,-2.663453614347687
6,0.9099999999999999,0.31,-3.635016723417239
6,0.9099999999999999,0.61,-5.074622509996756
6,0.9099999999999999,0.9099999999999999,-7.931348955113854
6,0.9099999999999999,symmetric,-3.181096535003229
6,symmetric,0.01,-3.012947627579513
6,symmetric,0.31,-5.398377103126987
6,symmetric,0.61,-12.575898914155587
6,symmetric,0.9099999999999999,-13.901416056893886
6,symmetric,symmetric,-3.141482552416546
6,asymmetric,0.01,-3.845783880171703
6,asymmetric,0.31,-8.644765794486846
6,asymmetric,0.61,-9.865482386887413
6,asymmetric,0.9099999999999999,-12.824542646226705
6,asymmetric,symmetric,-4.116491789506932
7,0.01,0.01,-3.903425076617
7,0.01,0.31,-9.350715240061023
7,0.01,0.61,-12.576980475416418
7,0.01,0.9099999999999999,-13.205488595850001
7,0.01,symmetric,-4.599546982298077
7,0.31,0.01,-2.8315685366731826
7,0.31,0.31,-7.843224417789216
7,0.31,0.61,-12.112607576817126
7,0.31,0.9099999999999999,-13.003850865262361
7,0.31,symmetric,-3.6742944988723845
7,0.61,0.01,-2.7791095578006946
7,0.61,0.31,-4.430025647056355
7,0.61,0.61,-9.292115492686733
7,0.61,0.9099999999999999,-10.362032069038577
7,0.61,symmetric,-3.362026860447372
7,0.9099999999999999,0.01,-2.8333801336420654
7,0.9099999999999999,0.31,-4.1873130147121245
7,0.9099999999999999,0.61,-7.770029134052974
7,0.9099999999999999,0.9099999999999999,-10.52322619560796
7,0.9099999999999999,symmetric,-2.981301234640899
7,symmetric,0.01,-3.340487992447367
7,symmetric,0.31,-8.788920755860053
7,symmetric,0.61,-14.563613724780145
7,symmetric,0.9099999999999999,-14.032319548432179
7,symmetric,symmetric,-3.5948817291440744
7,asymmetric,0.01,-4.33903905806064
7,asymmetric,0.31,-9.840142094897274
7,asymmetric,0.61,-13.02011328114919
7,asymmetric,0.9099999999999999,-11.576442862582851
7,asymmetric,symmetric,-6.908479040169689
8,0.01,0.01,-3.12303811862958
8,0.01,0.31,-6.636204046119156
8,0.01,0.61,-9.511521414294599
8,0.01,0.9099999999999999,-13.854087209018413
8,0.01,symmetric,-3.289555721376088
8,0.31,0.01,-3.0123016619274274
8,0.31,0.31,-5.199246811745843
8,0.31,0.61,-12.635713552453266
8,0.31,0.9099999999999999,-11.946641144648606
8,0.31,symmetric,-3.8708105785784213
8,0.61,0.01,-2.8544452519821446
8,0.61,0.31,-5.037745126514927
8,0.61,0.61,-9.9487370496315
8,0.61,0.9099999999999999,-11.742595729960609
8,0.61,symmetric,-3.745623082451723
8,0.9099999999999999,0.01,-2.940529799296659
8,0.9099999999999999,0.31,-5.031958154827761
8,0.9099999999999999,0.61,-8.981272758383563
8,0.9099999999999999,0.9099999999999999,-10.306787715567015
8,0.9099999999999999,symmetric,-2.9705666326880373
8,symmetric,0.01,-3.0619299329996155
8,symmetric,0.31,-6.2218171291684135
8,symmetric,0.61,-12.117845732354484
8,symmetric,0.9099999999999999,-13.69573881242394
8,symmetric,symmetric,-3.4834662505705443
8,asymmetric,0.01,-3.451722711648086
8,asymmetric,0.31,-9.103519893036125
8,asymmetric,0.61,-13.285497912672842
8,asymmetric,0.9099999999999999,-12.801333161239496
8,asymmetric,symmetric,-5.680719027019674
9,0.01,0.01,-3.666159698663765
9,0.01,0.31,-5.955854090389328
9,0.01,0.61,-10.650307495095339
9,0.01,0.9099999999999999,-9.813346758524833
9,0.01,symmetric,-5.145602987537629
9,0.31,0.01,-3.2548375953956525
9,0.31,0.31,-7.75187127037757
9,0.31,0.61,-14.720662316342327
9,0.31,0.9099999999999999,-14.84798092597703
9,0.31,symmetric,-3.944226860623205
9,0.61,0.01,-3.036308649097856
9,0.61,0.31,-5.216003229958648
9,0.61,0.61,-9.819205663553582
9,0.61,0.9099999999999999,-13.054067912088017
9,0.61,symmetric,-3.9954806396153
9,0.9099999999999999,0.01,-2.9816329589929707
9,0.9099999999999999,0.31,-4.927933274940944
9,0.9099999999999999,0.61,-9.299141782683396
9,0.9099999999999999,0.9099999999999999,-11.836101595327143
9,0.9099999999999999,symmetric,-3.2956086628030707
9,symmetric,0.01,-3.126020394392926
9,symmetric,0.31,-6.998126761534331
9,symmetric,0.61,-12.925798264857173
9,symmetric,0.9099999999999999,-12.963505864239004
9,symmetric,symmetric,-4.805402320633208
9,asymmetric,0.01,-4.496970694844562
9,asymmetric,0.31,-11.822874345688057
9,asymmetric,0.61,-10.359125534188358
9,asymmetric,0.9099999999999999,-11.346602257101898
9,asymmetric,symmetric,-7.79887227057912
