Topics,Alpha,Eta,Coherence
2,0.01,0.01,-2.2524324331503505
2,0.01,0.31,-2.4082959528450574
2,0.01,0.61,-2.3475321117628933
2,0.01,0.9099999999999999,-3.3510690202249727
2,0.01,symmetric,-2.3399752180707267
2,0.31,0.01,-2.2903180601613347
2,0.31,0.31,-2.377444167612952
2,0.31,0.61,-2.361300350452275
2,0.31,0.9099999999999999,-2.3657920577188447
2,0.31,symmetric,-2.3242801655843963
2,0.61,0.01,-2.30766319938745
2,0.61,0.31,-2.3168631530288724
2,0.61,0.61,-2.2879689969253496
2,0.61,0.9099999999999999,-2.2972973812672635
2,0.61,symmetric,-2.2675349064749835
2,0.9099999999999999,0.01,-2.2900846659553427
2,0.9099999999999999,0.31,-2.3199020638938244
2,0.9099999999999999,0.61,-2.280319119387638
2,0.9099999999999999,0.9099999999999999,-2.278289190733635
2,0.9099999999999999,symmetric,-2.3172283833251175
2,symmetric,0.01,-2.298604800483729
2,symmetric,0.31,-2.2978167856522655
2,symmetric,0.61,-2.2930951910444923
2,symmetric,0.9099999999999999,-2.2982607096375984
2,symmetric,symmetric,-2.2728968735402013
2,asymmetric,0.01,-2.208222610836471
2,asymmetric,0.31,-3.7015406233546013
2,asymmetric,0.61,-6.822871170194787
2,asymmetric,0.9099999999999999,-7.799962401254736
2,asymmetric,symmetric,-8.114927176251085
3,0.01,0.01,-3.8131423143205225
3,0.01,0.31,-5.919186366322773
3,0.01,0.61,-4.580070888288027
3,0.01,0.9099999999999999,-3.957341176201949
3,0.01,symmetric,-6.168324761808457
3,0.31,0.01,-2.4402041572856157
3,0.31,0.31,-2.3364639109429297
3,0.31,0.61,-4.893831126661799
3,0.31,0.9099999999999999,-4.4799204530373125
3,0.31,symmetric,-6.2393461439894375
3,0.61,0.01,-2.3970776117668007
3,0.61,0.31,-4.81223121950532
3,0.61,0.61,-5.229863584858465
3,0.61,0.9099999999999999,-5.263773929578298
3,0.61,symmetric,-5.209486860381259
3,0.9099999999999999,0.01,-2.3036950159238136
3,0.9099999999999999,0.31,-2.519280034529906
3,0.9099999999999999,0.61,-5.192640744378226
3,0.9099999999999999,0.9099999999999999,-4.251176360351111
3,0.9099999999999999,symmetric,-2.478695165167702
3,symmetric,0.01,-2.468306196282597
3,symmetric,0.31,-2.250464842210361
3,symmetric,0.61,-2.5231726907395196
3,symmetric,0.9099999999999999,-4.505958967291559
