Topics,Alpha,Eta,Coherence
2,0.01,0.01,-2.2156226488802973
2,0.01,0.31,-2.1156811058588745
2,0.01,0.61,-2.371883695685021
2,0.01,0.9099999999999999,-5.7162290477181426
2,0.01,symmetric,-2.390521903620241
2,0.31,0.01,-2.053492085371111
2,0.31,0.31,-2.178488758037685
2,0.31,0.61,-2.2286823989972384
2,0.31,0.9099999999999999,-2.3463464241500165
2,0.31,symmetric,-2.0922051268139863
2,0.61,0.01,-2.1146784085593167
2,0.61,0.31,-2.191858790280821
2,0.61,0.61,-2.1686326682906785
2,0.61,0.9099999999999999,-2.23730950221676
2,0.61,symmetric,-2.2230408570004903
2,0.9099999999999999,0.01,-2.170672120187236
2,0.9099999999999999,0.31,-2.1228294752729564
2,0.9099999999999999,0.61,-2.217916449140379
2,0.9099999999999999,0.9099999999999999,-2.2273220848702384
2,0.9099999999999999,symmetric,-2.1776185915639936
2,symmetric,0.01,-2.109630895699997
2,symmetric,0.31,-2.2093997050750867
2,symmetric,0.61,-2.1556612465600256
2,symmetric,0.9099999999999999,-2.229099194522755
2,symmetric,symmetric,-2.203657467724789
2,asymmetric,0.01,-2.2226911548088975
2,asymmetric,0.31,-2.211281694235439
2,asymmetric,0.61,-2.2102235260733827
2,asymmetric,0.9099999999999999,-2.2881956768978657
2,asymmetric,symmetric,-2.135486116685157
3,0.01,0.01,-2.6304403627307704
3,0.01,0.31,-2.307110116217044
3,0.01,0.61,-6.186333892831821
3,0.01,0.9099999999999999,-6.0655736481770015
3,0.01,symmetric,-2.31325012426947
3,0.31,0.01,-2.2876546722809246
3,0.31,0.31,-2.223911584852937
3,0.31,0.61,-2.3608853271312795
3,0.31,0.9099999999999999,-3.0507118792643375
3,0.31,symmetric,-2.231246863168201
3,0.61,0.01,-2.2128223999114307
3,0.61,0.31,-2.331251296595834
3,0.61,0.61,-2.3480145728690127
3,0.61,0.9099999999999999,-2.3563979551023784
3,0.61,symmetric,-2.341735704953289
3,0.9099999999999999,0.01,-2.150349587910187
3,0.9099999999999999,0.31,-2.384991817026346
3,0.9099999999999999,0.61,-2.329822959202884
3,0.9099999999999999,0.9099999999999999,-2.351912164660567
3,0.9099999999999999,symmetric,-2.298700069629892
3,symmetric,0.01,-2.249502722100282
3,symmetric,0.31,-2.262158018355277
3,symmetric,0.61,-2.3819198153830734
3,symmetric,0.9099999999999999,-2.586793795649413
3,symmetric,symmetric,-2.2291307347664615
3,asymmetric,0.01,-2.8960647873196996
3,asymmetric,0.31,-3.21045273587017
3,asymmetric,0.61,-7.479991550731274
3,asymmetric,0.9099999999999999,-7.334290162092291
3,asymmetric,symmetric,-3.5237357091215724
4,0.01,0.01,-2.718505958268006
4,0.01,0.31,-3.6479170232732496
4,0.01,0.61,-3.8547868300477677
4,0.01,0.9099999999999999,-4.882124381417644
4,0.01,symmetric,-2.7717599862944673
4,0.31,0.01,-2.280689460439527
4,0.31,0.31,-2.4201325644236493
4,0.31,0.61,-2.3611393311802678
4,0.31,0.9099999999999999,-5.732283411025439
4,0.31,symmetric,-2.396239879531541
4,0.61,0.01,-2.305390713782511
4,0.61,0.31,-2.2939720076403525
4,0.61,0.61,-2.5933390067684092
4,0.61,0.9099999999999999,-2.8205191802985543
4,0.61,symmetric,-2.386434985387953
4,0.9099999999999999,0.01,-2.3189742148624553
4,0.9099999999999999,0.31,-2.304529264971926
4,0.9099999999999999,0.61,-2.387596145044186
4,0.9099999999999999,0.9099999999999999,-2.378045867184303
4,0.9099999999999999,symmetric,-2.310728869060387
4,symmetric,0.01,-2.3139803497837774
4,symmetric,0.31,-2.4129067961266193
4,symmetric,0.61,-5.594941503808638
4,symmetric,0.9099999999999999,-4.802173771469859
4,symmetric,symmetric,-2.4328119872517764
4,asymmetric,0.01,-2.8489868479469482
4,asymmetric,0.31,-3.70478986187341
4,asymmetric,0.61,-7.171986258937129
4,asymmetric,0.9099999999999999,-9.155978639006678
4,asymmetric,symmetric,-3.1924778292179328
5,0.01,0.01,-2.6345815595442597
5,0.01,0.31,-5.043530554870056
5,0.01,0.61,-6.39993813284634
5,0.01,0.9099999999999999,-10.023022299024548
5,0.01,symmetric,-3.077796182530031
5,0.31,0.01,-2.5073568434682265
5,0.31,0.31,-3.4385703171796216
5,0.31,0.61,-5.902016490497146
5,0.31,0.9099999999999999,-8.045812849338986
5,0.31,symmetric,-2.5494085808851326
5,0.61,0.01,-2.4016145584085775
5,0.61,0.31,-2.4305586147850233
5,0.61,0.61,-4.872262354833813
5,0.61,0.9099999999999999,-5.251396889884229
5,0.61,symmetric,-2.6654664130502725
5,0.9099999999999999,0.01,-2.393457182141735
5,0.9099999999999999,0.31,-2.308955647171648
5,0.9099999999999999,0.61,-2.3106777357892514
5,0.9099999999999999,0.9099999999999999,-5.457195189120612
5,0.9099999999999999,symmetric,-2.400466075956521
5,symmetric,0.01,-2.4496776150705997
5,symmetric,0.31,-3.31207758685239
5,symmetric,0.61,-6.34709529341811
5,symmetric,0.9099999999999999,-9.237746250621962
5,symmetric,symmetric,-2.6892925149215605
5,asymmetric,0.01,-2.868192907600153
5,asymmetric,0.31,-3.4024863039800737
5,asymmetric,0.61,-9.47843222262836
5,asymmetric,0.9099999999999999,-10.854528297237
5,asymmetric,symmetric,-2.800109199364599
6,0.01,0.01,-3.2084356203248006
6,0.01,0.31,-5.923558761301593
6,0.01,0.61,-6.620135903255842
6,0.01,0.9099999999999999,-10.934165727569686
6,0.01,symmetric,-3.2341703664494506
6,0.31,0.01,-2.517380361938475
6,0.31,0.31,-4.082154148252099
6,0.31,0.61,-5.301699156479548
6,0.31,0.9099999999999999,-8.404359326163311
6,0.31,symmetric,-2.6639630848594025
6,0.61,0.01,-2.520797838122384
6,0.61,0.31,-2.987375819714583
6,0.61,0.61,-4.687602014142153
6,0.61,0.9099999999999999,-4.828262981133012
6,0.61,symmetric,-2.6637144450121295
6,0.9099999999999999,0.01,-2.4514901337405464
6,0.9099999999999999,0.31,-3.023641064780598
6,0.9099999999999999,0.61,-4.520091951470039
6,0.9099999999999999,0.9099999999999999,-7.346660200566927
6,0.9099999999999999,symmetric,-2.4289884451400496
6,symmetric,0.01,-2.835935700217614
6,symmetric,0.31,-4.235753194634281
6,symmetric,0.61,-5.3636696975747595
6,symmetric,0.9099999999999999,-9.41775526628503
