Topics,Alpha,Eta,Coherence
2,0.01,0.01,-2.9006661980881208
2,0.01,0.31,-2.8336416590794373
2,0.01,0.61,-5.961738473227825
2,0.01,0.9099999999999999,-9.90350840485203
2,0.01,symmetric,-4.569566545247399
2,0.31,0.01,-2.2331277167966364
2,0.31,0.31,-2.2179148405347613
2,0.31,0.61,-2.9996925368457648
2,0.31,0.9099999999999999,-6.379405669912789
2,0.31,symmetric,-2.7486013142330523
2,0.61,0.01,-2.3322660794734977
2,0.61,0.31,-2.3370259407460128
2,0.61,0.61,-2.3748077860245873
2,0.61,0.9099999999999999,-3.1346826292090197
2,0.61,symmetric,-2.371753500293009
2,0.9099999999999999,0.01,-2.250357758859132
2,0.9099999999999999,0.31,-2.3886381543258737
2,0.9099999999999999,0.61,-2.3543453532051206
2,0.9099999999999999,0.9099999999999999,-2.905635367201735
2,0.9099999999999999,symmetric,-2.4024815613505304
2,symmetric,0.01,-2.328410661078235
2,symmetric,0.31,-2.313403157381812
2,symmetric,0.61,-2.709172874576848
2,symmetric,0.9099999999999999,-4.346028541457281
2,symmetric,symmetric,-2.3791592581815593
2,asymmetric,0.01,-2.3038559801507748
2,asymmetric,0.31,-2.2471849655953715
2,asymmetric,0.61,-2.2139471315375046
2,asymmetric,0.9099999999999999,-2.3466586671422736
2,asymmetric,symmetric,-2.1831461545935547
3,0.01,0.01,-2.7868085729251972
3,0.01,0.31,-4.547124520470601
3,0.01,0.61,-6.688105816755186
3,0.01,0.9099999999999999,-9.470665967233947
3,0.01,symmetric,-4.540370162644559
3,0.31,0.01,-2.48380004333563
3,0.31,0.31,-3.3426200818343617
3,0.31,0.61,-7.1155842466797194
3,0.31,0.9099999999999999,-10.28566947678957
3,0.31,symmetric,-3.2034164473262585
3,0.61,0.01,-2.3465923612018345
3,0.61,0.31,-2.81469532042178
3,0.61,0.61,-2.921978936104889
3,0.61,0.9099999999999999,-7.259517897825063
3,0.61,symmetric,-3.333683815684175
3,0.9099999999999999,0.01,-2.4144377763233824
3,0.9099999999999999,0.31,-2.7514392244833275
3,0.9099999999999999,0.61,-2.74701802975336
3,0.9099999999999999,0.9099999999999999,-4.6788055779332725
3,0.9099999999999999,symmetric,-2.766126199452184
3,symmetric,0.01,-2.463377767786836
3,symmetric,0.31,-3.1920323159491724
3,symmetric,0.61,-6.402079546583313
3,symmetric,0.9099999999999999,-9.700638971515573
3,symmetric,symmetric,-3.254645664160313
3,asymmetric,0.01,-2.876592165385123
3,asymmetric,0.31,-4.64407612833032
3,asymmetric,0.61,-4.847494912917992
3,asymmetric,0.9099999999999999,-5.032922555543622
3,asymmetric,symmetric,-4.729403174427703
4,0.01,0.01,-2.932422311979609
4,0.01,0.31,-5.626744535884337
4,0.01,0.61,-6.179327318037261
4,0.01,0.9099999999999999,-6.966275528264555
4,0.01,symmetric,-4.941948430293092
4,0.31,0.01,-2.6357376446063134
4,0.31,0.31,-5.0249609896614675
4,0.31,0.61,-6.978505983051993
4,0.31,0.9099999999999999,-8.917901975374354
4,0.31,symmetric,-3.866292532892609
4,0.61,0.01,-2.368983940688647
4,0.61,0.31,-2.514898222953394
4,0.61,0.61,-5.736846662378338
4,0.61,0.9099999999999999,-5.525858728513288
4,0.61,symmetric,-2.931205734090582
4,0.9099999999999999,0.01,-2.4406947365749185
4,0.9099999999999999,0.31,-2.7149654269591834
4,0.9099999999999999,0.61,-5.282034013719765
4,0.9099999999999999,0.9099999999999999,-4.962335746656441
4,0.9099999999999999,symmetric,-2.764671002499272
4,symmetric,0.01,-2.665338692910182
4,symmetric,0.31,-5.1346707708985075
4,symmetric,0.61,-7.26207842598634
4,symmetric,0.9099999999999999,-8.75325371171719
4,symmetric,symmetric,-4.123630883137436
4,asymmetric,0.01,-3.558827404484682
4,asymmetric,0.31,-5.949354930798554
4,asymmetric,0.61,-8.808725843836898
