Topics,Alpha,Eta,Coherence
2,0.01,0.01,-2.124584695010309
2,0.01,0.31,-2.058515048343741
2,0.01,0.61,-2.1432805635988923
2,0.01,0.9099999999999999,-2.1688097837802935
2,0.01,symmetric,-2.0272830095387873
2,0.31,0.01,-2.0181328312650204
2,0.31,0.31,-2.1276685644760773
2,0.31,0.61,-2.0353526493336362
2,0.31,0.9099999999999999,-2.143247156372702
2,0.31,symmetric,-1.9894802189485796
2,0.61,0.01,-2.1077746895759457
2,0.61,0.31,-2.1088710075575774
2,0.61,0.61,-2.002246930977239
2,0.61,0.9099999999999999,-1.9801817774201416
2,0.61,symmetric,-2.0721517483127125
2,0.9099999999999999,0.01,-2.14318911805292
2,0.9099999999999999,0.31,-2.1158018420661944
2,0.9099999999999999,0.61,-2.0913013401415466
2,0.9099999999999999,0.9099999999999999,-2.081145088394239
2,0.9099999999999999,symmetric,-2.0771884616776672
2,symmetric,0.01,-2.022443791312617
2,symmetric,0.31,-2.0431669904216667
2,symmetric,0.61,-1.9946665073639227
2,symmetric,0.9099999999999999,-2.086035842854282
2,symmetric,symmetric,-2.007409023479257
2,asymmetric,0.01,-2.104750110812038
2,asymmetric,0.31,-2.119697715626045
2,asymmetric,0.61,-2.1564464169205086
2,asymmetric,0.9099999999999999,-2.1220234916290726
2,asymmetric,symmetric,-2.1651115605829876
3,0.01,0.01,-2.193077134541188
3,0.01,0.31,-2.2326000823772674
3,0.01,0.61,-4.89437095488388
3,0.01,0.9099999999999999,-7.539741256400312
3,0.01,symmetric,-2.2420157128896645
3,0.31,0.01,-2.2320695069186343
3,0.31,0.31,-2.18105524147631
3,0.31,0.61,-2.1449003968757
3,0.31,0.9099999999999999,-7.415333741474526
3,0.31,symmetric,-2.1872226608440855
3,0.61,0.01,-2.2023113582660456
3,0.61,0.31,-2.1623427764108607
3,0.61,0.61,-2.109513213198014
3,0.61,0.9099999999999999,-2.140641678452098
3,0.61,symmetric,-2.167463020703629
3,0.9099999999999999,0.01,-2.239287175532007
3,0.9099999999999999,0.31,-2.143895482312958
3,0.9099999999999999,0.61,-2.152428763026207
3,0.9099999999999999,0.9099999999999999,-2.1946269619737317
3,0.9099999999999999,symmetric,-2.157237676202987
3,symmetric,0.01,-2.2191893068082083
3,symmetric,0.31,-2.1791671286843197
3,symmetric,0.61,-2.1489827651440385
3,symmetric,0.9099999999999999,-7.518632525749527
3,symmetric,symmetric,-2.1869474769656603
3,asymmetric,0.01,-2.277020771684054
3,asymmetric,0.31,-2.2211209120285216
3,asymmetric,0.61,-2.3591776666370445
3,asymmetric,0.9099999999999999,-6.825522525885269
3,asymmetric,symmetric,-2.234486459214702
4,0.01,0.01,-2.303193976411272
4,0.01,0.31,-2.4604845077013318
4,0.01,0.61,-5.683461402089829
4,0.01,0.9099999999999999,-10.741078508391517
4,0.01,symmetric,-2.4603608930919236
4,0.31,0.01,-2.357245382570685
4,0.31,0.31,-2.154005328727992
4,0.31,0.61,-3.201924622146027
4,0.31,0.9099999999999999,-5.289311872799136
4,0.31,symmetric,-2.239669905240105
4,0.61,0.01,-2.2467319735177913
4,0.61,0.31,-2.289441754333598
4,0.61,0.61,-2.2563469243629717
4,0.61,0.9099999999999999,-2.37392441349803
4,0.61,symmetric,-2.3088200959087515
4,0.9099999999999999,0.01,-2.2856248886701738
4,0.9099999999999999,0.31,-2.297080731068362
4,0.9099999999999999,0.61,-2.2851703888607386
4,0.9099999999999999,0.9099999999999999,-2.246811433713746
4,0.9099999999999999,symmetric,-2.3289344750441394
4,symmetric,0.01,-2.3669941987658665
4,symmetric,0.31,-2.2513867346740453
4,symmetric,0.61,-3.444403655047503
4,symmetric,0.9099999999999999,-7.813428896867757
4,symmetric,symmetric,-2.251144044051081
4,asymmetric,0.01,-2.332342942939208
4,asymmetric,0.31,-2.953176582218748
4,asymmetric,0.61,-6.222665039741038
4,asymmetric,0.9099999999999999,-6.453869170628184
4,asymmetric,symmetric,-2.444300758127234
5,0.01,0.01,-2.4052698517480295
5,0.01,0.31,-3.555110054467086
5,0.01,0.61,-9.425837936235846
5,0.01,0.9099999999999999,-11.508239287783208
5,0.01,symmetric,-2.561344460351619
5,0.31,0.01,-2.3363270891100214
5,0.31,0.31,-2.3263745901924837
5,0.31,0.61,-4.702131256917108
5,0.31,0.9099999999999999,-7.8377782348581535
5,0.31,symmetric,-2.24069209660227
5,0.61,0.01,-2.3513530643796035
5,0.61,0.31,-2.342131785706484
5,0.61,0.61,-2.388561874275392
5,0.61,0.9099999999999999,-3.272994761867327
5,0.61,symmetric,-2.277404164502306
5,0.9099999999999999,0.01,-2.3729690656178666
5,0.9099999999999999,0.31,-2.343594045900097
5,0.9099999999999999,0.61,-2.3759005408734963
5,0.9099999999999999,0.9099999999999999,-2.85470979438376
5,0.9099999999999999,symmetric,-2.3858599887377703
5,symmetric,0.01,-2.3564845900501696
5,symmetric,0.31,-2.5981874856984915
5,symmetric,0.61,-6.177323178794862
5,symmetric,0.9099999999999999,-10.990387602507337
5,symmetric,symmetric,-2.281317198652787
5,asymmetric,0.01,-2.5985977723717006
5,asymmetric,0.31,-4.600148427597498
5,asymmetric,0.61,-5.950878558957351
5,asymmetric,0.9099999999999999,-8.840891494506335
5,asymmetric,symmetric,-3.103130430659653
6,0.01,0.01,-2.516155977821937
6,0.01,0.31,-3.229471138933843
6,0.01,0.61,-6.962414526429924
6,0.01,0.9099999999999999,-12.247189140884766
6,0.01,symmetric,-2.6665878924126707
6,0.31,0.01,-2.418404906466323
6,0.31,0.31,-2.724050313250036
6,0.31,0.61,-6.569251973235864
6,0.31,0.9099999999999999,-9.09266588021408
6,0.31,symmetric,-2.494509814509684
6,0.61,0.01,-2.451168187435805
6,0.61,0.31,-2.3856450945331407
6,0.61,0.61,-2.6482448129595406
6,0.61,0.9099999999999999,-5.4673227829404745
6,0.61,symmetric,-2.4219371944823718
6,0.9099999999999999,0.01,-2.4094009920474524
6,0.9099999999999999,0.31,-2.3043059886838395
6,0.9099999999999999,0.61,-2.3572606024273255
6,0.9099999999999999,0.9099999999999999,-3.0581872142351156
6,0.9099999999999999,symmetric,-2.4028170587694633
6,symmetric,0.01,-2.4250567271143924
6,symmetric,0.31,-4.288629393061279
6,symmetric,0.61,-6.341080731705385
6,symmetric,0.9099999999999999,-12.093213476508453
6,symmetric,symmetric,-2.4948132700506003
6,asymmetric,0.01,-2.9048786875108425
6,asymmetric,0.31,-6.156373892189518
6,asymmetric,0.61,-9.167423421543551
6,asymmetric,0.9099999999999999,-10.436317735735825
6,asymmetric,symmetric,-3.2673050640770573
7,0.01,0.01,-2.61037120268496
7,0.01,0.31,-7.163648721997566
7,0.01,0.61,-11.948147033990702
7,0.01,0.9099999999999999,-11.610698200826876
7,0.01,symmetric,-3.39565723930286
7,0.31,0.01,-2.4693375041040975
7,0.31,0.31,-4.067736910324284
7,0.31,0.61,-8.953384362160453
7,0.31,0.9099999999999999,-11.677309022267622
7,0.31,symmetric,-2.671828424351285
7,0.61,0.01,-2.411750761867322
7,0.61,0.31,-2.491517848575442
7,0.61,0.61,-5.68678986585344
7,0.61,0.9099999999999999,-7.180514858913804
7,0.61,symmetric,-2.433308166292258
7,0.9099999999999999,0.01,-2.463251720287065
7,0.9099999999999999,0.31,-2.43703555155473
7,0.9099999999999999,0.61,-2.609267369789143
7,0.9099999999999999,0.9099999999999999,-6.474973746656623
7,0.9099999999999999,symmetric,-2.50852773188024
7,symmetric,0.01,-2.628671690363165
7,symmetric,0.31,-6.21912119685849
7,symmetric,0.61,-10.64682142490876
7,symmetric,0.9099999999999999,-11.186614241003719
7,symmetric,symmetric,-3.187215995257994
7,asymmetric,0.01,-4.006508926997535
7,asymmetric,0.31,-8.490410654033289
7,asymmetric,0.61,-10.38428477845754
7,asymmetric,0.9099999999999999,-10.322979547963275
7,asymmetric,symmetric,-4.943111505010395
8,0.01,0.01,-2.788264967950044
8,0.01,0.31,-5.443171721011162
8,0.01,0.61,-12.087221922450887
8,0.01,0.9099999999999999,-12.365350488967032
8,0.01,symmetric,-2.945767129099983
8,0.31,0.01,-2.4961098675099525
8,0.31,0.31,-3.878917834451358
8,0.31,0.61,-10.853005252929037
8,0.31,0.9099999999999999,-13.525191893317434
8,0.31,symmetric,-2.965545570023399
8,0.61,0.01,-2.5266929259751874
8,0.61,0.31,-2.71486204911967
8,0.61,0.61,-6.429996429422649
8,0.61,0.9099999999999999,-8.21595716390523
8,0.61,symmetric,-2.593063996917996
8,0.9099999999999999,0.01,-2.5313762446961983
8,0.9099999999999999,0.31,-2.5122869284950067
8,0.9099999999999999,0.61,-3.958078522686931
8,0.9099999999999999,0.9099999999999999,-7.505073134229825
8,0.9099999999999999,symmetric,-2.4662261965330705
8,symmetric,0.01,-2.5651714447813765
8,symmetric,0.31,-5.843491202645955
8,symmetric,0.61,-12.123348396861818
8,symmetric,0.9099999999999999,-13.191790601320093
8,symmetric,symmetric,-2.730460617056714
8,asymmetric,0.01,-3.407304399498587
8,asymmetric,0.31,-9.038792851290701
8,asymmetric,0.61,-10.754660438324635
8,asymmetric,0.9099999999999999,-10.666544778953863
8,asymmetric,symmetric,-5.18117608286063
9,0.01,0.01,-3.1866662802659738
9,0.01,0.31,-9.287664401768975
9,0.01,0.61,-11.713103306477285
9,0.01,0.9099999999999999,-13.577033746412962
9,0.01,symmetric,-4.528398129234363
9,0.31,0.01,-2.5679490913830048
9,0.31,0.31,-4.472630318411106
9,0.31,0.61,-9.350774862240725
9,0.31,0.9099999999999999,-12.74339124850885
9,0.31,symmetric,-2.7395434035762922
9,0.61,0.01,-2.5799715236408844
9,0.61,0.31,-3.346199327179125
9,0.61,0.61,-6.978577475761906
9,0.61,0.9099999999999999,-10.230103264000256
9,0.61,symmetric,-2.657559590314371
9,0.9099999999999999,0.01,-2.521800845274077
