Topics,Alpha,Eta,Coherence
2,0.01,0.01,-2.3256416656732357
2,0.01,0.31,-2.265183085870974
2,0.01,0.61,-3.128217833596632
2,0.01,0.9099999999999999,-4.458941862541497
2,0.01,symmetric,-2.3093199193928564
2,0.31,0.01,-2.2876108891535583
2,0.31,0.31,-2.2840945093157257
2,0.31,0.61,-2.2541050317231712
2,0.31,0.9099999999999999,-3.964200106769768
2,0.31,symmetric,-2.2943129765883565
2,0.61,0.01,-2.356201935308782
2,0.61,0.31,-2.2810809914453634
2,0.61,0.61,-2.2778949244706785
2,0.61,0.9099999999999999,-3.9504676167001893
2,0.61,symmetric,-2.252538407834217
2,0.9099999999999999,0.01,-2.319470303889526
2,0.9099999999999999,0.31,-2.221574071284861
2,0.9099999999999999,0.61,-2.2836785182997943
2,0.9099999999999999,0.9099999999999999,-2.454524866703713
2,0.9099999999999999,symmetric,-2.2255539517671403
2,symmetric,0.01,-2.3219443744104695
2,symmetric,0.31,-2.257237423909202
2,symmetric,0.61,-2.2805072355940785
2,symmetric,0.9099999999999999,-3.885507369012421
2,symmetric,symmetric,-2.3040371062121703
2,asymmetric,0.01,-2.4607465897478185
2,asymmetric,0.31,-2.238679146893104
2,asymmetric,0.61,-2.25565627700173
2,asymmetric,0.9099999999999999,-4.526268287617761
2,asymmetric,symmetric,-2.2313435000845168
3,0.01,0.01,-2.440783593265867
3,0.01,0.31,-2.424653233040155
3,0.01,0.61,-3.629439201055284
3,0.01,0.9099999999999999,-8.61858741977362
3,0.01,symmetric,-2.5790280909746275
3,0.31,0.01,-2.355176844248889
3,0.31,0.31,-2.3602459197764833
3,0.31,0.61,-4.770622900775128
3,0.31,0.9099999999999999,-7.343828668241957
3,0.31,symmetric,-2.4813235593828042
3,0.61,0.01,-2.3997678540491947
3,0.61,0.31,-2.8908588785825153
3,0.61,0.61,-3.35062721713555
3,0.61,0.9099999999999999,-5.257704897442042
3,0.61,symmetric,-2.9780687475710153
3,0.9099999999999999,0.01,-2.3658232029919577
3,0.9099999999999999,0.31,-2.3860171082958943
3,0.9099999999999999,0.61,-3.4795300563270044
3,0.9099999999999999,0.9099999999999999,-3.6579196936573375
3,0.9099999999999999,symmetric,-2.3875672431801847
3,symmetric,0.01,-2.367138701904469
3,symmetric,0.31,-2.3637954949403412
3,symmetric,0.61,-4.536473919637065
3,symmetric,0.9099999999999999,-7.01960014511446
3,symmetric,symmetric,-2.573337016375595
3,asymmetric,0.01,-2.999021732773619
3,asymmetric,0.31,-4.143381317564292
3,asymmetric,0.61,-5.251235896203537
3,asymmetric,0.9099999999999999,-8.061039543848624
3,asymmetric,symmetric,-3.980662282241194
4,0.01,0.01,-2.821776892293111
4,0.01,0.31,-3.3526795023769433
4,0.01,0.61,-7.882594076515442
4,0.01,0.9099999999999999,-5.538290012761578
4,0.01,symmetric,-2.6864600078133694
4,0.31,0.01,-2.477442180277289
4,0.31,0.31,-3.7580708033748094
4,0.31,0.61,-3.8634229259120154
4,0.31,0.9099999999999999,-7.463488621679729
4,0.31,symmetric,-3.2614406728947074
4,0.61,0.01,-2.5112789482312454
4,0.61,0.31,-3.4652188897305503
4,0.61,0.61,-3.819532381795523
4,0.61,0.9099999999999999,-3.8145405646481367
4,0.61,symmetric,-3.315585074837713
4,0.9099999999999999,0.01,-2.5297167315684486
4,0.9099999999999999,0.31,-3.2380443079825687
4,0.9099999999999999,0.61,-3.488771953581046
4,0.9099999999999999,0.9099999999999999,-3.842377018230847
4,0.9099999999999999,symmetric,-3.1575522596215855
4,symmetric,0.01,-2.546589456682014
4,symmetric,0.31,-3.4819175213628846
4,symmetric,0.61,-3.9766808027046294
4,symmetric,0.9099999999999999,-7.19084358954936
4,symmetric,symmetric,-3.157640320503256
4,asymmetric,0.01,-3.223385070591068
4,asymmetric,0.31,-4.464319294613427
4,asymmetric,0.61,-5.9774842031834226
4,asymmetric,0.9099999999999999,-7.838572420630668
4,asymmetric,symmetric,-3.900176457890897
5,0.01,0.01,-2.7263696095867878
5,0.01,0.31,-3.8454800932740696
5,0.01,0.61,-6.466388519469926
5,0.01,0.9099999999999999,-8.860014229013222
5,0.01,symmetric,-3.4309747297593702
5,0.31,0.01,-2.8314149552579293
5,0.31,0.31,-3.9797670578587594
5,0.31,0.61,-6.113356014213252
5,0.31,0.9099999999999999,-8.671319461459124
5,0.31,symmetric,-3.6043411760127704
5,0.61,0.01,-2.712182374657484
5,0.61,0.31,-3.7687867706391267
5,0.61,0.61,-3.3650165665916254
5,0.61,0.9099999999999999,-5.637114155806347
5,0.61,symmetric,-3.5839513217954084
