Topics,Alpha,Eta,Coherence
2,0.01,0.01,-1.6574030024520048
2,0.01,0.31,-1.6680786795397446
2,0.01,0.61,-1.650044150080304
2,0.01,0.9099999999999999,-1.65382418421243
2,0.01,symmetric,-1.64461563288164
2,0.31,0.01,-1.6513362865070549
2,0.31,0.31,-1.7235216908874635
2,0.31,0.61,-1.6897843439439786
2,0.31,0.9099999999999999,-1.6725107909643437
2,0.31,symmetric,-1.6764113571386647
2,0.61,0.01,-1.6509489250023908
2,0.61,0.31,-1.6205483908707565
2,0.61,0.61,-1.6353706885823507
2,0.61,0.9099999999999999,-1.6347990455689545
2,0.61,symmetric,-1.6388188344825632
2,0.9099999999999999,0.01,-1.6683416252622405
2,0.9099999999999999,0.31,-1.6026802475093143
2,0.9099999999999999,0.61,-1.636399964523231
2,0.9099999999999999,0.9099999999999999,-1.6355242280118414
2,0.9099999999999999,symmetric,-1.6048689493043096
2,symmetric,0.01,-1.6539805945066175
2,symmetric,0.31,-1.6275901720027917
2,symmetric,0.61,-1.6381349792383277
2,symmetric,0.9099999999999999,-1.6383867032204824
2,symmetric,symmetric,-1.638265725080819
2,asymmetric,0.01,-1.723460652015218
2,asymmetric,0.31,-1.6736037943523008
2,asymmetric,0.61,-1.6952600269384934
2,asymmetric,0.9099999999999999,-1.6953054400860186
2,asymmetric,symmetric,-1.693922966514212
3,0.01,0.01,-1.8047677732245944
3,0.01,0.31,-2.224494573507948
3,0.01,0.61,-3.4329056795388375
3,0.01,0.9099999999999999,-5.117781095016074
3,0.01,symmetric,-2.218078959884104
3,0.31,0.01,-1.761093737609164
3,0.31,0.31,-1.7361613930011401
3,0.31,0.61,-1.7318337930894365
3,0.31,0.9099999999999999,-1.7281269071822722
3,0.31,symmetric,-1.7598741991864741
3,0.61,0.01,-1.7194275840326123
3,0.61,0.31,-1.7072645848490478
3,0.61,0.61,-1.675590594454652
3,0.61,0.9099999999999999,-1.6771542387554608
3,0.61,symmetric,-1.7111232353158405
3,0.9099999999999999,0.01,-1.7016205361871959
